symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
NFLX SEWJWLJNHZDX,12/7/2010,27.638544,27.667115,26.614259,26.738545,6633960,27.638544,25.450499,27.210033,0.879767,28.969566,2.283851,0.594142,0.301857,66.310587
NFLX SEWJWLJNHZDX,12/8/2010,27.11283,28.485686,27.07283,28.177115,6256713,27.11283,25.460285,27.19236,0.866037,28.924434,2.221284,0.373857,0.354428,51.333856
NFLX SEWJWLJNHZDX,12/9/2010,26.889973,26.927116,25.912831,26.444259,9809757,26.889973,25.418689,27.13738,0.859345,28.856071,2.123186,0.373857,0.366571,50.491993
NFLX SEWJWLJNHZDX,12/10/2010,27.297116,27.445687,26.512831,27.157116,6120031,27.297116,25.489729,27.166423,0.838347,28.843117,2.184387,0.399857,0.366571,52.171482
NFLX SEWJWLJNHZDX,12/11/2010,27.792829,28.279972,27.499972,28.197115,6378232,27.792829,25.620355,27.280315,0.82998,28.940275,2.248169,0.413571,0.366571,53.012269
NFLX SEWJWLJNHZDX,12/14/2010,26.257117,27.515687,26.071403,27.507115,6880523,26.257117,25.295394,27.094279,0.899443,28.893164,2.179364,0.302571,0.520142,36.777218
NFLX SEWJWLJNHZDX,12/15/2010,25.49426,26.099974,25.301403,25.877117,8830745,25.49426,25.129084,26.803366,0.837141,28.477648,2.091056,0.204428,0.596428,25.526222
NFLX SEWJWLJNHZDX,12/16/2010,25.527117,25.917117,25.079975,25.465689,6199153,25.527117,24.965966,26.571321,0.802677,28.176676,2.153048,0.207714,0.514142,28.774985
NFLX SEWJWLJNHZDX,12/17/2010,25.97426,26.10426,25.438546,25.438546,4230233,25.97426,24.887359,26.462765,0.787703,28.03817,2.19535,0.252428,0.418142,37.643801
NFLX SEWJWLJNHZDX,12/18/2010,25.68426,26.357117,25.678546,26.151402,7199389,25.68426,24.64254,26.321218,0.839339,27.999896,2.123356,0.252428,0.333714,43.066049
NFLX SEWJWLJNHZDX,12/21/2010,25.428546,25.86426,25.219975,25.828546,4496897,25.428546,24.521402,26.158914,0.818756,27.796426,2.078387,0.138286,0.359285,27.792133
NFLX SEWJWLJNHZDX,12/22/2010,26.607116,26.644259,25.64426,25.809974,5652127,26.607116,24.670944,26.240406,0.784731,27.809867,2.134909,0.256143,0.306714,45.507614
NFLX SEWJWLJNHZDX,12/23/2010,26.471402,27.107116,26.371402,26.731402,4049296,26.471402,24.756909,26.282405,0.762748,27.807901,2.094416,0.256143,0.298,46.223253
NFLX SEWJWLJNHZDX,12/24/2010,26.372831,26.484259,25.935688,26.482831,2931890,26.372831,24.933952,26.298846,0.682447,27.66374,2.065097,0.215428,0.307857,41.168441
NFLX SEWJWLJNHZDX,12/28/2010,25.71426,25.832831,25.39426,25.735689,3587818,25.71426,25.353059,26.192558,0.419749,27.032056,2.029219,0.165857,0.373714,30.738681
NFLX SEWJWLJNHZDX,12/29/2010,26.235688,26.337117,25.502832,25.622832,3779056,26.235688,25.363912,26.2004,0.418244,27.036887,2.067009,0.218,0.220143,49.755461
NFLX SEWJWLJNHZDX,12/30/2010,25.742831,26.357117,25.741403,26.292831,2698528,25.742831,25.322766,26.117205,0.39722,26.911645,2.040024,0.218,0.193143,53.022933
NFLX SEWJWLJNHZDX,12/31/2010,25.691403,25.76426,25.531403,25.71426,2028311,25.691403,25.276978,26.039787,0.381404,26.802595,2.019741,0.214714,0.198286,51.988931
NFLX SEWJWLJNHZDX,1/1/2011,25.099975,25.677117,25.075689,25.578546,2997836,25.099975,24.936366,25.868912,0.466273,26.801457,1.989762,0.17,0.257428,39.772727
NFLX SEWJWLJNHZDX,1/4/2011,25.499975,25.838546,24.78569,24.994261,5590122,25.499975,24.845597,25.801832,0.478118,26.758067,2.045664,0.21,0.228428,47.898338
NFLX SEWJWLJNHZDX,1/5/2011,25.909974,26.414259,25.469975,25.907117,6106843,25.909974,24.915137,25.821494,0.453179,26.727852,2.106732,0.251,0.202857,55.303746
NFLX SEWJWLJNHZDX,1/6/2011,25.677117,26.112831,25.529974,25.878546,4457060,25.677117,24.999974,25.795244,0.397635,26.590514,2.062161,0.133143,0.226143,37.057654
NFLX SEWJWLJNHZDX,1/7/2011,25.417117,25.669974,25.092832,25.198546,4456379,25.417117,25.018424,25.726494,0.354035,26.434563,2.017598,0.133143,0.238571,35.818601
NFLX SEWJWLJNHZDX,1/8/2011,25.61426,25.792831,25.197118,25.52426,3076921,25.61426,25.138529,25.706088,0.283779,26.273647,2.048367,0.152857,0.228714,40.059903
NFLX SEWJWLJNHZDX,1/11/2011,26.848545,26.848545,25.597117,25.671403,6176041,26.848545,25.000406,25.913807,0.4567,26.827208,2.110127,0.276285,0.162857,62.914769
NFLX SEWJWLJNHZDX,1/12/2011,26.664259,27.328544,26.538545,27.044259,4554523,26.664259,25.021262,26.050253,0.514496,27.079244,2.064582,0.224143,0.181286,55.285412
NFLX SEWJWLJNHZDX,1/13/2011,26.985687,26.999973,26.392831,26.858545,2962119,26.985687,24.978713,26.220332,0.62081,27.461951,2.094203,0.256285,0.132,66.004415
NFLX SEWJWLJNHZDX,1/14/2011,27.349973,27.478544,26.718545,26.919973,4103645,27.349973,24.942154,26.425721,0.741783,27.909288,2.13524,0.292714,0.126857,69.765066
NFLX SEWJWLJNHZDX,1/15/2011,27.351401,27.605687,26.969973,27.261401,2734949,27.351401,25.106563,26.594027,0.743732,28.081491,2.162589,0.292857,0.067714,81.220285
NFLX SEWJWLJNHZDX,1/19/2011,27.665687,27.834258,27.08283,27.35283,2584236,27.665687,25.220495,26.788874,0.784189,28.357252,2.188432,0.284285,0.067714,80.762987
NFLX SEWJWLJNHZDX,1/20/2011,27.278544,27.692829,27.004259,27.544258,3024239,27.278544,25.317424,26.877905,0.78024,28.438385,2.158189,0.243285,0.106428,69.566993
NFLX SEWJWLJNHZDX,1/21/2011,26.428545,26.889973,25.899974,26.678545,5386568,26.428545,25.370604,26.796203,0.7128,28.221803,2.104324,0.243285,0.168143,59.131944
NFLX SEWJWLJNHZDX,1/22/2011,25.999974,26.511402,25.957117,26.408545,3477732,25.999974,25.415198,26.651434,0.618118,27.88767,2.069546,0.243285,0.185,56.804536
NFLX SEWJWLJNHZDX,1/25/2011,26.275688,26.345688,25.158546,25.711403,3812919,26.275688,25.559172,26.583117,0.511972,27.607061,2.107675,0.251143,0.185,57.582706
NFLX SEWJWLJNHZDX,1/26/2011,26.66283,26.69283,25.941403,26.125688,2992024,26.66283,25.565007,26.59761,0.516302,27.630213,2.137596,0.166428,0.185,47.357724
NFLX SEWJWLJNHZDX,1/27/2011,26.157117,26.797116,25.975688,26.76283,5486460,26.157117,25.403603,26.51752,0.556959,27.631438,2.082731,0.166428,0.217143,43.389199
NFLX SEWJWLJNHZDX,1/28/2011,30.122827,30.255684,29.225685,29.585685,17504794,30.122827,24.89031,27.173031,1.14136,29.455752,2.257779,0.530857,0.217143,70.970206
NFLX SEWJWLJNHZDX,1/29/2011,31.139969,31.142826,29.807113,30.252827,8749972,31.139969,24.569975,27.894292,1.662159,31.218609,2.345279,0.596142,0.217143,73.300545
